"crop","collectiondate","genotype","augmented.","modelname","IoU","Dice","Precision","Recall","F1","MAE","Hausdorff","PixelAccuracy"
"sorghum",1,18,"yes","SegFormer",0.8846507,0.9387954,0.93954818017013,0.938043856595893,0.938795415752256,0.013404846,10.770329614269,0.986595153808594
"sorghum",1,18,"yes","SegFormer",0.87791514,0.93498915,0.933125325013,0.93686042464323,0.934989144594008,0.014278412,13,0.985721588134766
"sorghum",1,18,"yes","SegFormer",0.9023372,0.9486617,0.941971792320099,0.955447267664462,0.948661678560937,0.011333466,9.21954445729289,0.988666534423828
"sorghum",1,18,"yes","SegFormer",0.89395654,0.94400954,0.925463969235914,0.963313609467456,0.944009550609704,0.012523651,10.1980390271856,0.987476348876953
"sorghum",1,19,"no","SegFormer",0.8519749,0.9200718,0.860027100271003,0.989130011298555,0.9200717560295,0.01682663,11.1803398874989,0.983173370361328
"sorghum",1,19,"no","SegFormer",0.8432571,0.9149642,0.843279434726229,0.999968618590347,0.914964179575898,0.022594452,15.2315462117278,0.977405548095703
"sorghum",1,19,"yes","SegFormer",0.85203207,0.9201051,0.852032085561497,1,0.92010510207028,0.021110535,12.0830459735946,0.978889465332031
"sorghum",1,19,"yes","SegFormer",0.88272476,0.93770987,0.88338604960879,0.999152701939371,0.937709842728397,0.01613617,12.5299640861417,0.983863830566406
"sorghum",1,19,"yes","SegFormer",0.8913628,0.9425614,0.892337454790142,0.998776125023536,0.942561414419617,0.014797211,11.4017542509914,0.985202789306641
"sorghum",1,19,"yes","SegFormer",0.84394944,0.9153716,0.843971819048628,0.999968618590347,0.915371577949499,0.022476196,15.2315462117278,0.977523803710938
"sorghum",1,19,"yes","SegFormer",0.82635754,0.90492415,0.826357554068772,1,0.904924177883796,0.025543213,12.0830459735946,0.974456787109375
"sorghum",1,19,"yes","SegFormer",0.90638417,0.9508935,0.917514942945119,0.986792379319749,0.95089352755669,0.009979248,10.6301458127346,0.990020751953125
"sorghum",1,19,"yes","SegFormer",0.9038212,0.9494811,0.925275456629446,0.974987337826781,0.94948115265684,0.010158539,16.2788205960997,0.989841461181641
"sorghum",1,19,"yes","SegFormer",0.91003686,0.9528998,0.935377340788832,0.971091284528772,0.952899797377375,0.009399414,13.4164078649987,0.9906005859375
"sorghum",1,19,"yes","SegFormer",0.85670847,0.922825,0.86580618725671,0.987883274243192,0.922824959510855,0.016178131,11.6619037896906,0.983821868896484
"sorghum",1,19,"yes","SegFormer",0.8595557,0.9244743,0.869076195048351,0.987415747847431,0.924474274562731,0.015796661,13.4164078649987,0.984203338623047
"sorghum",1,19,"no","SegFormer",0.9555918,0.9772917,0.992034121558051,0.962981003409644,0.977291685976458,0.005607605,8.94427190999916,0.994392395019531
"sorghum",1,19,"yes","SegFormer",0.9525046,0.9756746,0.991482540780086,0.960362883584998,0.975674630789453,0.006000519,9.05538513813742,0.993999481201172
"sorghum",1,19,"yes","SegFormer",0.96058536,0.9798965,0.988749418874942,0.971200681928885,0.979896487644556,0.0049934387,6.08276253029822,0.995006561279297
"sorghum",1,19,"yes","SegFormer",0.9531113,0.9759928,0.991426148676235,0.961032635168047,0.975992827219465,0.005924225,8.60232526704263,0.994075775146484
"sorghum",1,19,"yes","SegFormer",0.95639735,0.9777128,0.988761596413673,0.966908183146615,0.977712790518701,0.0055236816,9.21954445729289,0.994476318359375
"sorghum",1,19,"yes","SegFormer",0.9559161,0.9774613,0.992222047984946,0.963133219678519,0.977461263961194,0.0055656433,8,0.994434356689453
"sorghum",1,1,"no","SegFormer",0.8095072,0.8947267,0.885549353561376,0.904096244703132,0.894726694302516,0.033325195,55.1543289325507,0.9666748046875
"sorghum",1,1,"no","SegFormer",0.9016566,0.9482854,0.965669307489167,0.931516335666411,0.948285412155698,0.015670776,21.0237960416286,0.984329223632812
"sorghum",1,1,"yes","SegFormer",0.89913976,0.9468916,0.9637094708805,0.930650706106398,0.946891631751783,0.016101837,20,0.983898162841797
"sorghum",1,1,"yes","SegFormer",0.8924802,0.94318575,0.91200110864745,0.976578537333366,0.943185754039819,0.018146515,19.1049731745428,0.981853485107422
"sorghum",1,1,"yes","SegFormer",0.91050553,0.95315665,0.958508403361345,0.947864368214083,0.953156670853178,0.014369965,18.6815416922694,0.985630035400391
"sorghum",1,1,"yes","SegFormer",0.897133,0.94577765,0.968554763447829,0.924047189177157,0.945777642770352,0.016342163,20.0997512422418,0.983657836914062
"sorghum",1,1,"yes","SegFormer",0.87780446,0.9349264,0.905187586845762,0.966685628076076,0.934926387045077,0.020755768,24.0416305603426,0.979244232177734
"sorghum",1,1,"yes","SegFormer",0.86394495,0.92700696,0.906673496949658,0.948273342749988,0.927006951718884,0.023391724,14,0.976608276367188
"sorghum",1,1,"yes","SegFormer",0.8201708,0.901202,0.848155389871296,0.961326774146413,0.90120201362967,0.033016205,56.6480361530742,0.966983795166016
"sorghum",1,1,"yes","SegFormer",0.8380477,0.91188896,0.877734471804808,0.948809117919244,0.911888963007174,0.028720856,56.302753041037,0.971279144287109
"sorghum",1,1,"yes","SegFormer",0.84122604,0.9137673,0.861720722470383,0.972504992450441,0.913767261993295,0.028751373,52.8015151297763,0.971248626708984
