crop,collectiondate,genotype,augmented?,modelname,IoU,Precision,Recall,F1
sorghum,1,53,no,U-NET,0.921514,0.9989686924493554,0.9223915113589988,0.9591540828234961
sorghum,1,53,no,U-NET,0.9658044,0.9813006588614495,0.9839123615797728,0.9826047747876027
sorghum,1,53,no,U-NET,0.9232616,0.9332644677733202,0.9885241730279898,0.9600998430684444
sorghum,1,54,no,U-NET,0.93280584,0.9753135842006939,0.955362394614731,0.9652349037604411
sorghum,1,54,no,U-NET,0.9461907,0.9527385869856767,0.9927888646654368,0.9723514919244457
sorghum,1,54,no,U-NET,0.9424487,0.9510546982010776,0.990489776509748,0.9703717506754869
sorghum,1,56,no,U-NET,0.9500615,0.9765397618697633,0.9722523049904873,0.9743913171017894
sorghum,1,56,no,U-NET,0.8636997,1.0,0.8636996981056961,0.9268657380623915
sorghum,1,56,no,U-NET,0.96536666,0.9840368380660015,0.9807251032583754,0.9823781795893349
sorghum,1,57,no,U-NET,0.96601176,0.9803539059128183,0.9850816174302218,0.9827120755892431
sorghum,1,57,no,U-NET,0.9178338,0.9327066403808242,0.9829233068990854,0.9571567792951161
sorghum,1,57,no,U-NET,0.9555794,0.9607356891919818,0.9944148683334918,0.9772852020974693
sorghum,1,58,no,U-NET,0.9548165,0.9869606448553817,0.9670150987224158,0.976886072978998
sorghum,1,58,no,U-NET,0.9367872,0.9716940759307942,0.9630684400278728,0.9673620304012416
sorghum,1,58,no,U-NET,0.94050646,0.951220556745182,0.9881656804733728,0.9693412180592227
sorghum,1,59,no,U-NET,0.8860487,0.958710755430481,0.921201622443806,0.9395819866408102
sorghum,1,59,no,U-NET,0.9317341,0.9337517433751743,0.997686274509804,0.9646608273613165
sorghum,1,59,no,U-NET,0.89855075,0.9928946217752515,0.9043660078657838,0.9465648854961832
sorghum,1,5,no,U-NET,0.9341213,0.9354915739919493,0.9984344280200975,0.9659387108136668
sorghum,1,5,no,U-NET,0.9511695,0.9622882483370289,0.9879981059226343,0.9749737156618711
sorghum,1,5,no,U-NET,0.826784,0.9994665876426138,0.827148988350705,0.9051798174986581
sorghum,1,60,no,U-NET,0.82977,0.8343531705203877,0.9934235976789169,0.9069664773228949
sorghum,1,60,no,U-NET,0.8320156,0.9680666602446778,0.8554950200051077,0.9083062183658713
sorghum,1,60,no,U-NET,0.83273166,0.8332679921590591,0.9992276436414923,0.9087327642810243
sorghum,1,61,no,U-NET,0.9613729,0.9870763169905594,0.9736280921239693,0.9803060847160426
sorghum,1,61,no,U-NET,0.9495111,0.9671204188481676,0.9811846360867821,0.9741017648299622
sorghum,1,61,no,U-NET,0.8982677,0.9001535058016163,0.9976731385108086,0.9464078038592078
sorghum,1,62,no,U-NET,0.91510856,0.9249159743801129,0.9885454791920835,0.9556727713527504
sorghum,1,62,no,U-NET,0.95931154,0.9896254974659002,0.9690570562568698,0.9792332806031436
sorghum,1,62,no,U-NET,0.95940256,0.9701156812339332,0.9886205485059353,0.9792807038884158
sorghum,1,63,no,U-NET,0.9486582,0.9514784732176037,0.9968852550197452,0.9736527596697088
sorghum,1,63,no,U-NET,0.95283353,0.9660191686740813,0.9858771838058374,0.9758471614590075
sorghum,1,63,no,U-NET,0.91947806,0.9206012002761698,0.9986748862130552,0.9580500746144918
sorghum,1,65,no,U-NET,0.87951845,0.9976579952439288,0.8813381290384187,0.9358976525662909
sorghum,1,65,no,U-NET,0.8008516,0.9678140525195174,0.8227645710148426,0.8894142968953822
sorghum,1,65,no,U-NET,0.73248047,0.7358534745167417,0.9937809634236323,0.8455858172142665
sorghum,1,66,no,U-NET,0.9057259,0.9458088863991508,0.9553007742703991,0.9505311347170985
sorghum,1,66,no,U-NET,0.9405777,0.9779394741193981,0.9609672072540544,0.9693790571110091
sorghum,1,66,no,U-NET,0.8851742,0.9938692098092643,0.8900340332626983,0.9390900775771537
sorghum,1,67,no,U-NET,0.8860983,0.9983173654750868,0.8874236874236874,0.9396098964140851
sorghum,1,67,no,U-NET,0.9447342,0.987891019172553,0.9558024170140904,0.9715818413464762
sorghum,1,67,no,U-NET,0.88431704,0.9875886043290514,0.8942553610072792,0.9386074724140157
sorghum,1,68,no,U-NET,0.88502896,0.9132925820573342,0.9662141972937209,0.9390083278885744
sorghum,1,68,no,U-NET,0.8320662,0.9060256342073073,0.9106589216350094,0.9083363695337285
sorghum,1,68,no,U-NET,0.87444824,0.9320253164556962,0.9340155182984841,0.933019356065006
sorghum,1,69,no,U-NET,0.9425036,0.9597829394461913,0.9812563191869961,0.9704008511838378
sorghum,1,69,no,U-NET,0.9371121,0.938761751376456,0.998128310302258,0.9675352248600656
sorghum,1,69,no,U-NET,0.9510156,0.9753280129852563,0.9744580788150711,0.974892851831321
sorghum,1,6,no,U-NET,0.86941344,0.9530188498708257,0.908344733242134,0.9301456854688084
sorghum,1,6,no,U-NET,0.920466,0.9660239830707735,0.9512618661727251,0.9585860942603827
sorghum,1,6,no,U-NET,0.8981877,0.9927121052390337,0.9041496201052016,0.9463634178846868
sorghum,1,71,no,U-NET,0.9420251,0.9855520679468243,0.9552165354330708,0.9701472191930207
sorghum,1,71,no,U-NET,0.94869417,0.9872556118754525,0.9604564880477152,0.9736716815844602
sorghum,1,72,no,U-NET,0.84632444,0.9017320991133561,0.9323112784651246,0.9167667640090363
sorghum,1,72,no,U-NET,0.9165534,0.9482902179218468,0.9647718642285448,0.9564600437281902
sorghum,1,72,no,U-NET,0.8706555,0.916186432109999,0.9460030795730354,0.9308560496141549
sorghum,1,73,no,U-NET,0.9189663,0.9791727437139024,0.9372870944323449,0.9577721981282812
